year,job_revenue,elective_revenue,executive_revenue
2010,280383.0,104702.0,0.0
2011,2946008.0,168152.0,0.0
2012,5204094.0,276181.0,0.0
2013,2780600.0,191663.0,114311.0
2014,27406230.0,9179735.0,18373.0
2015,47517021.0,7625479.0,154084.0
2016,19414836.0,2992008.0,0.0
2017,8912476.0,1584496.0,2095.0
2018,6321341.0,282141.0,9592.0
2019,4984631.0,329468.0,0.0
2020,4470942.0,2674750.0,13850.0
2021,1500965.0,537345.0,0.0
2022,970573.0,95423.0,0.0
2023,156294.0,44162.0,0.0
