year,job_revenue,elective_revenue,executive_revenue
2010,280383.0,104702.0,0.0
2011,2946008.0,168152.0,0.0
2012,5204094.0,276181.0,0.0
2013,2780600.0,191663.0,114311.0
2014,27430017.0,9193078.0,18373.0
2015,47555580.0,7705495.0,154084.0
2016,19163390.0,2976127.0,0.0
2017,9065894.0,1584496.0,2095.0
2018,6253277.0,267315.0,9592.0
2019,4906014.0,329468.0,0.0
2020,4470942.0,2661550.0,13850.0
2021,1483473.0,507942.0,0.0
2022,970573.0,95423.0,0.0
2023,106717.0,44162.0,0.0
