departement,women_perc
01,39.53488372093023
02,48.80952380952381
03,39.02439024390244
04,35.294117647058826
05,31.147540983606557
06,27.027027027027028
07,29.03225806451613
08,30.434782608695656
09,22.857142857142858
10,38.983050847457626
11,33.82352941176471
12,26.53061224489796
13,47.03389830508475
14,27.966101694915253
15,20.0
16,22.857142857142858
17,34.02061855670103
18,42.25352112676056
19,32.758620689655174
21,43.05555555555556
22,32.29166666666667
23,33.33333333333333
24,33.33333333333333
25,38.52459016393443
26,40.909090909090914
27,25.263157894736842
28,30.985915492957744
29,34.193548387096776
2A,0.0
2B,0.0
30,32.91139240506329
31,34.24657534246575
32,24.242424242424242
33,44.49760765550239
34,24.083769633507853
35,39.61038961038961
36,44.44444444444444
37,36.470588235294116
38,42.27642276422765
39,32.0
40,40.42553191489361
41,29.230769230769234
42,34.33734939759036
43,46.875
44,36.734693877551024
45,28.07017543859649
46,27.586206896551722
47,29.09090909090909
48,55.172413793103445
49,34.375
50,24.615384615384617
51,30.973451327433626
52,36.666666666666664
53,35.0
54,32.03125
55,36.17021276595745
56,32.22222222222222
57,28.47222222222222
58,44.44444444444444
59,27.2108843537415
60,35.35353535353536
61,44.0
62,25.40983606557377
63,34.82142857142857
64,34.82142857142857
65,29.411764705882355
66,38.59649122807017
67,47.10144927536232
68,37.00787401574803
69,35.42600896860987
70,32.075471698113205
71,33.6734693877551
72,32.11009174311927
73,41.75824175824176
74,35.869565217391305
75,56.20437956204379
76,35.12195121951219
77,22.093023255813954
78,33.72781065088758
79,29.629629629629626
80,25.196850393700785
81,30.136986301369863
82,31.70731707317073
83,37.19806763285024
84,16.666666666666664
85,34.66666666666667
86,44.11764705882353
87,36.95652173913043
88,29.508196721311474
89,28.26086956521739
90,38.095238095238095
91,30.405405405405407
92,34.59119496855346
93,28.859060402684566
94,34.10852713178294
95,30.386740331491712
971,27.500000000000004
972,28.749999999999996
973,36.36363636363637
974,38.84297520661157
975,58.333333333333336
976,16.0
977,57.692307692307686
978,60.0
986,0.0
987,44.827586206896555
988,40.42553191489361
997,43.75
998,72.22222222222221
