departement,women_perc
01,38.63636363636363
02,39.39393939393939
03,40.54054054054054
04,42.30769230769231
05,40.0
06,30.303030303030305
07,33.33333333333333
08,25.806451612903224
09,25.0
10,30.303030303030305
11,35.294117647058826
12,27.27272727272727
13,46.49122807017544
14,32.8125
15,31.57894736842105
16,25.64102564102564
17,34.69387755102041
18,40.0
19,33.33333333333333
21,37.5
22,31.57894736842105
23,31.57894736842105
24,30.76923076923077
25,35.61643835616438
26,45.45454545454545
27,23.52941176470588
28,27.77777777777778
29,32.53012048192771
2A,0.0
2B,0.0
30,31.32530120481928
31,35.483870967741936
32,31.25
33,45.28301886792453
34,33.980582524271846
35,38.20224719101123
36,50.0
37,45.83333333333333
38,42.3728813559322
39,46.666666666666664
40,43.333333333333336
41,32.35294117647059
42,34.40860215053764
43,48.0
44,36.734693877551024
45,32.78688524590164
46,40.0
47,34.61538461538461
48,50.0
49,34.146341463414636
50,30.555555555555557
51,35.18518518518518
52,35.714285714285715
53,35.483870967741936
54,32.5
55,32.0
56,33.33333333333333
57,30.555555555555557
58,47.61904761904761
59,27.74566473988439
60,35.08771929824561
61,42.857142857142854
62,21.91780821917808
63,33.33333333333333
64,33.33333333333333
65,31.03448275862069
66,35.483870967741936
67,37.28813559322034
68,31.666666666666664
69,43.63636363636363
70,35.294117647058826
71,44.44444444444444
72,33.92857142857143
73,44.18604651162791
74,27.659574468085108
75,55.769230769230774
76,39.39393939393939
77,25.882352941176475
78,27.586206896551722
79,27.27272727272727
80,33.92857142857143
81,37.5
82,22.22222222222222
83,35.78947368421053
84,21.052631578947366
85,36.36363636363637
86,41.46341463414634
87,34.090909090909086
88,31.25
89,30.434782608695656
90,33.33333333333333
91,32.91139240506329
92,40.0
93,31.944444444444443
94,35.18518518518518
95,34.090909090909086
971,39.130434782608695
972,28.30188679245283
973,38.46153846153847
974,42.64705882352941
975,42.857142857142854
976,22.22222222222222
977,43.75
978,50.0
986,0.0
987,45.714285714285715
988,42.857142857142854
997,33.33333333333333
998,66.66666666666666
